	job_id	title	location	department	salary_range	company_profile	description	requirements	benefits	telecommuting	has_company_logo	has_questions	employment_type	required_experience	required_education	industry	function	fraudulent
3732	17658	Data Entry/ Administrative Assistant	US, CA, LOS   ANGELES				Immediate opening for an accounts payable clerk, Data Entry Primary responsibilities include clearing purchase orders, invoice processing, vendor statement reconciliation, check processing, and other accounting functions as needed. Skills must include Microsoft Excel proficiency at intermediate level or higher. Knowledge of APEX purchase order program and Microsoft Dynamics SL a plus. We are looking for a full-time self-sufficient, multi-tasker with a can-do attitude. The position requires a knowledge of Quick Books and like programs, with knowledge of payroll taxes, sales taxes, and income taxes a plus. The staff accountant serves as the primary contact with clients once secured by the firm and throughout its relationship with the firm, so excellent communication skills and organizational skills are a must. Some clerical and administrative work is required. The staff accountant will be expected to work on more than one project at once and should possess the confidence and ability to work in a dynamic work environment.	"Some clerical and administrative work is required. The staff accountant will be expected to work on more than one project at once and should possess the confidence and ability to work in a dynamic work environment. Must have strong data entry skills Thorough knowledge of AP from beginning to end Strong excel skills to export and import data Looking for someone with a ""can do"" attitude that is looking for a great foot in the door with an excellent company"	Vacations, Holiday and medicals.	0	0	0	Full-time	Not Applicable	Unspecified	Accounting	Administrative	1
3737	9757	Property Preservation Field Crews	US, MD, Rockville				We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior	 **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!	As per job	0	0	0	Contract			Real Estate		1
3755	17614	Administrative Assistant	US, NV, LAS VEGAS				Administrative AssistantEssential Job Responsibilities:Answering and routing telephone calls to appropriate peopleScheduling appointmentsMaintain paper and electronic filing systems for records and messagesLimited courier responsibilitiesPerform any additional duties as assigned or requestedRequired Qualifications:At least two years of experience and knowledge to perform essential job functions assignedAble to work in a fast-pace environment and be able to multi-taskExcellent communication skills and computer knowledge (QuickBooks a plus)Well organized, highly dependable, and efficientMust have problem solving skills and be detailed orientedMaintain respect at all times for confidential informationStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities			0	0	0	Full-time	Entry level		Hospital & Health Care	Administrative	1
3762	6145	Physician Assistant PA Dermatology   1843	US, NY, Ridgewood				1843Job Title: Physician Assistant PA DermatologyRelocation Available: YesSalary / Package: Dependent on the candidate.  Industry: HealthcareLocation: New YorkTown / City: RidgewoodJob Type: Permanent full-timeJob description:We have a need for multiple PA  with Derm specific experience on Long Island, in Queens, and in Northern NJ.  We need a licensed Physician Assistants in the area that have worked specifically in dermatology. Very large specialty group with General, Laser and Cosmetic Dermatologists, Mohs Surgeons, Dermatopathologists, and Plastic Surgeons.Seeking PA Physician Assistants for any of the offices located throughout Long Island.  Need a NY license and 3 years of dermatology experience.	Bottom Line Requirements:1. Licensed PA in NY or NJ.2. 3 + years of dermatology experience.3. Local		0	0	0	Full-time	Not Applicable	Bachelor's Degree	Health, Wellness and Fitness		1
3778	4358	Subsea Process Plant Layout Designer	US, TX, Houston				Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureWe are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. Aker Solutions is a world leading supplier of subsea pumping, compression, processing and power distribution systems for the subsea oil and gas industry. Currently we are realising the Åsgard Subsea Compression System ready to start up in 2015. We see a development of market opportunities, where even more processing systems are moved subsea establishing the future subsea factory. Aker Solutions will split into two companies, one that will retain the Aker Solutions name and will focus on the subsea business and field design and a new oil-services investment company named Akastor consisting of six businesses that will be run independently.Aker Solutions’ subsea power and process unit is continuously improving solutions realising the subsea factory. We are looking for highly motivated and creative engineers capable of shaping this future.We have several open positions at Houston, TX within subsea processing - separation, compression, and power systems. We need you to join the team in developing subsea processing solutions including separation, compression, flow assurance and pumps.Responsibilities and tasks • Take lead and be a driving force within Subsea Factory technology and concept developments from idea to market.• Lead the subsea process plant discipline in projects and studies. • Develop conceptual subsea process system layout and modularisation philosophy in projects and studies. • Present and promote subsea process plant layout solutions internally and in customer meetings.	Qualifications &amp; personal attributesQualifications:• Preferably subsea processing layout experience. • Understanding the drivers for subsea process system modularisation philosophy.• Understanding of subsea process system requirements impact on subsea process station layout.• Understanding and experience with subsea mechanical design requirements.• Experience with Solid works. • Master of Science or corresponding education level.• Oil &amp; gas experience (5-8 years) within subsea or offshore industry, preferable within processing. Candidates with less experience but with strong qualifications may be evaluated.Personal qualities:• Ability and drive to improve existing and explore new solutions. • Creative, open minded, innovative and conceptual mindset. • Result orientated. • Ability to turn around quick and work under pressure and on own initiative.• Team player but also self-managed, independent and pro-active.	We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.• A good and creative working environment in a technical driven organisation.• Interesting and challenging work tasks in one of the leading subsea technology companies worldwide.• Good career development opportunities nationally and internationally.• An expansive company under constant development. • Good personnel and pension insurances and welfare benefits for all employees.	0	0	0				Oil & Energy	Engineering	1
3829	5521	Home Based Payroll Typist/Data Entry Clerks Positions Available	US, NE, Abie 	Clerical			We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  	Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.	All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#	0	0	0						1
3888	2369	Director of Product Marketing for Advertisers 	US, CA, San Mateo	Information Technology		Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            	Seeking a Director of Product Marketing to position its groundbreaking video advertising platform and solutions to leading brands and advertising agencies in all geographies.   We are looking for a proven leader in the online advertising industry with deep knowledge of ad technologies and solutions across different devices, e.g. pc, mobile, TV.  This role needs to make sure that the unique needs of brands, agencies, and trading desks and addresses them with industry leading products that are positioned well in the marketplace. Reporting to the VP Product Marketing, this person will work with the product team to ensure we are developing a competitive offering for each audience, work with sales to validate with customers, develop go-to market plans that include product positioning and messaging, and execute them with corporate marketing.Responsibilities: Market Intelligence:Build deep knowledge of trends in the video and ad technology industries.  Identify market opportunities and determine their relevance to the company.  Do detailed competitive analysis and provide regular updates on any changes in the competitive landscape.   Develop sales and marketing tools to address new opportunities or respond to competitive threats. Customer Insights and Segmentation: Build knowledge of the different customer segments and needs across brands, agencies, and trading desks.  Develop personas and segmentation profiles for each target segment and audience.  Develop strategies and plans for how the company will address each target segment and audience.   Validate with internal stakeholders and develop appropriate marketing and sales tools and collateral. Market Planning:Work with Product Management to maintain a high-level roadmap of products for each business and customer segment that include positioning, messaging, and value proposition.  Develop a Market Requirements Document (MRD) for new products or features.  MRDs should include target segments and customer personas, business value for customers, competitive analysis, product and feature requirements, value chain analysis, pricing recommendation, etc. Validate with internal stakeholders including sales, business development, operations, corporate marketing, and any appropriate external customers. Go to Market:Develop the go-to-market plan for bringing all products to market including target segments, product positioning, messaging, pricing, schedule for the launch and ramp, sales support strategy, proposed collateral, etc.  Validate with corporate marketing, sales, business development and other internal stakeholders.  	Skills and Requirements:BS/BA or equivalent from top universityDeep experience in knowledge of the online advertising industryExceptional written and oral communication skills5-10 years as a product marketing manager and/or product manager with  ownership of widely adopted, complex productsExperience collaborating with diverse cross-functional groups to solve  problems		0	1	1	Full-time	Mid-Senior level	Bachelor's Degree	Marketing and Advertising	Information Technology	1
3952	17424	DATA ENTRY/RECEPTIONIST	US, NY, NEW YORK				Our company  is seeking applications for a (temporary) full time motivated Data Entry/Receptionist. On a daily basis, the receptionist will be responsible for answering phones, and assisting visitors. Other responsibilities may be assigned as well. To qualify for this position, applicants must have excellent telephone etiquette, experience working with Microsoft Office programs, and multitasking skills.			0	0	0	Full-time	Entry level		Accounting	Administrative	1
4007	4606	Collection Representative II	US, TX, DALLAS	COLLECTION DEPT	30000-45000	The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!	The individual occupying this position must be able to perform essential job functions set forth below with or without reasonable accommodation.Primary Duties &amp; Responsibilities:This document in no way states or implies that these are the only duties to be performed by the individual occupying this position. This is a representative list of the general duties, and it is not intended to be all-inclusive.Responsible for collection of delinquent accountsPerform inquiries and data entry, generate and print reports in a variety of computer programsRecord summary of discussion with commercial customer on outstanding issuesTimely follow up on discussions as requiredIdentify, audit and correct data that falls outside of billing specifications on customer accountsGenerate credit memos with applicable backup to clear up items on a customer accountCommunicate with other departments, G6 Hospitality properties, and customers to verify details, correct errors and prevent recurrence of similar issuesProvide documentation to customers, properties and operations to justify modifications required to correct errors and prevent recurrencesActively participate in interdepartmental meetings to identify procedural problems and determine solutionsOther duties and projects as assigned	Maintain attention and concentration for extended periods of timeRead and interpret documents and instructions from customers, vendors, and other Team MembersCommunicate effectively with customers, vendors, and other Team MembersMulti-task and prioritize workloadWork within the appropriate level of independenceFunction in a fast-paced environmentIf applicable, ability to travel for meetings with customers, vendors, other Team Members, and/or other business necessities	FULL- TIME BENEFITS	0	1	1	Full-time	Entry level	High School or equivalent	Financial Services	Customer Service	1
4010	17808	Remote Data Entry Rep Needed	US, AL, Birmingham 		30000-35000		We're looking for self-motivated individuals who are interested in working from home by performing online data entry work, and other types of work from home duties. . You can choose to work: Full-time, Part-time, Flexible, Temporary, or in a Permanent position. You will be able to select your position in: customer support, typing, data entry, email support and more.We have positions ranging from entry level with a starting pay at $12 per hour and up to six figure salary positions.These positions not only pay competitive wages, but also offer flexibility that will give you full control over your work schedule.Home Office SuppliesComputer with internet accessQuiet work area away from distractionsMust be able to work independently and get the job done with little guidance.Must Apply Online At: #URL_417276ac5438650aa78c2c58617f773cdb9494ed6a0d63447de07c782829a228#-#URL_6c4ffad8fe9cb38c2ae5c761c0028893f9ecfb299e88db7d5dd85e0b7ba65666#	Must be able to work from home		0	1	0	Full-time	Entry level	High School or equivalent	Consumer Services	Customer Service	1
4019	8678	Project Subcontracting Manager	US, TX, Houston			Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.	"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions are looking to recruit a Project Subcontracting Manager to be based in their Houston office, USA.We are currently expanding and we need new talents who can strengthen our team and support our ambitious plans within the subsea market.Responsibilities and tasks- Overall responsibility for management of the Joint Venture (JV) its contracts ie. management of subcontracts and own fabrication and test activities at service base in the country/region of execution. - Promote HSE and quality mindset, on-time delivery, co-operation, proactive- and resolution oriented mindset and continuous improvement. - To participate in the project from System Definition phase and heavily engaged during Detailing &amp; Fabrication, Assembly and Integration test phases. - Is part of the Project Management Team and is jointly accountable for achieving the project objectives (budget, scope, time schedule and quality).Execution overall - Managing all resources being part of the JV as well as all subcontracting/site teams- Participate on Tender teams when bidding on new SPS / MSP projects - Review ITT and determine client requirements for Local content and hence subcontracting- Establish project specific Terms &amp; Conditions for Purchase Orders to subcontractors when required, including LCI requirements- Prepare and negotiate any MOU and contracts with potential partners/subcontractors/local suppliers as part of BD/tendering activities and as part of project execution- Reviewing and analysing subcontractors/local supplier quotations as required- Managing the contracts towards local suppliers/subcontractors wrt scope, time, cost and qualityExecution at site(s);- Ensure timely delivery from product areas deliveries, including engineering documents and HW for local content execution- Ensure timely handling of any deviations- Is authorized to take and implement necessary decisions to ensure efficient performance construction and testing - Ensure mechanical completion on site- Ensure development of final documentation- Coordinate on site to facilitate for system integration testing (SIT)- Ensure required tooling is available for testing - Ensure SLS (local service base) participation in the project from System Definition phase including a proper handover- Ensure proper tidying up and handling of the test EQ, remained stock at site at the end of the project Scope Management- Report to the Project Management Core Team on any contractual or commercial issues related to sub-contractors- Prepare a list of necessary commercial and contractual qualifications for inclusion in tenders/projects for subcontract amendments or variation- Ensure that the fabrication is in accordance with the design- Assist in claims management and claims resolutionTime Management- Coordinate supplies to site (CPI/free issued items), fabrication and testing activities- Overlook fabrication, manufacturing and testing activities to ensure timely deliveriesQuality Management- Review quality plans for internal and subcontracted fabrication and follow up fabrication sites for proper implementation Communication Management- Ensure efficient communication between the project and manufacturing sites- Report progress on construction, fabrication and testing activitiesHSE Management- Provide feedback and supervise HSE plans since early in the project- Coordinate and monitor HSE requirements during construction and testing to ensure top HSE standards- Ensure on site HSE activities/actions (participate and document SJA, regular and ad-hoc inspections, train SIT team, handle SIT ""visitors"", get photo permissions for SIT resources etc)"	Qualifications &amp; personal attributes- MSc. in Engineering or/and Business Administration- 10 years’ experience from international Oil &amp; Gas or infrastructure industries as lead construction position- 3 years’ experience with handling of contractual issues within engineering and construction projects for offshore and subsea applications - Fundamental knowledge of; contract drafting, negotiating, background law, and business norms for Aker Subsea and Aker Solutions’ Contract Standards - Basic understanding of ERP systems, preferably SAP- Basic understanding of planning tools, preferably Primavera- Good communication and leadership skills- Good knowledge of the English language- Systematic and analytical - High integrity and ethical values- Ability to work both operationally and strategically- Flexibility on travelling and stationing/rotation required according to the project’s needs	We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.	0	1	0	Full-time		Professional	Oil & Energy	Engineering	1
4038	494	Admin Assistant/ Receptionist 	US, CA, Los Angeles		23040-28800		A Newly established company seeks outgoing, friendly people person with a can do attitude for a Admin Assistant/ Receptionist position yet to be occupiedJob duties include answering phones, setting appts and working with the owner to keep the office running smooth. Processing of tax returns, keeping database current and scanning of all tax documents.	Must have good knowledge of Outlook, Microsoft Word and Excel, and excellent overall computer skills. Any background with Quickbooks, Ultratax or working in a CPA office would be helpful. Must be extremely organized. Good sense of humor is key! 		0	0	0	Full-time	Entry level	High School or equivalent	Computer Software	Administrative	1
4059	1858	Mechanical Technician	US, TX, Houston			Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.	Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureTo assemble, test, repair and/or refurbishment of controls equipment within the production department. Perform general duties within the workshop environment to assist manufacturing activities. To carry out any other requirements needed to allow the company to operate efficiently.Responsibilities and tasks• To work in a safe manner at all times, to comply with all current safety legislation and Company safety policy.• To work to ISO 9001. • To work to project specific quality plans.• To work at all times to the Company’s Quality Management System.• To complete all activities identified within the department work packs.• Perform strip down, assembly and test activities in line with work instructions and Standard Operating Procedures, under direct guidance and supervision.• Ensure all calibrated equipment used within the build, test process is within calibration date and rated for the work activities.• Maintain workshop plant and equipment including test equipment.• Ensure work area is maintained in a safe and tidy manner.• Play a pro-active role in housekeeping and continuous improvement initiatives.As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.	Qualifications &amp; personal attributesONC in Mechanical Engineering.City &amp; Guilds or equivalent qualifications in mechanical or hydraulic disciplineDemonstrable experience relevant to the position.	We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.	0	1	0	Full-time			Oil & Energy	Engineering	1
4062	2014	Contract - Design Engineer	US, TX, Houston			Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.	Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Responsibilities and tasksResponsible for general design tasks within his/her areaProduce concepts, drawings, assemblies and parts by means of the SolidWorks CAD system and SAP PLM toolSupport Lead Engineers with technical input Responsible for compliance to regulations for health, environment and safetyDesign calculations (hand calculations or tools) in order to verify strength of components and similar. Assist the staff organization during tender work when neededAdhere to governing documents and regulations for company.	Qualifications &amp; personal attributesB.Sc. degree in relevant engineering discipline. (Persons not having relevant theoretical qualifications must have minimum 3 years practical experience from relevant industry)Practical experience with 3D-modelling, assembly &amp; machining drawings, geometrical tolerances SolidWorks CAD System or other similar 3D CAD systemsNeeds to be structured and analytic Independent with good communication skillsTeam-player and solution orientedGood communication skillsWe offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.		0	1	0	Full-time	Mid-Senior level	Bachelor's Degree	Oil & Energy	Engineering	1
4068	17748	Office Assistant	US, CA, Los Angeles	Administrative	35000-45000		A Los Angeles based Real Estate firm is in need of an Office Assistant for an immediate opening.Job duties include:Providing excellent customer service to current and prospective clientsScanning documentsProcess incoming and outgoing mailProofreading documentsThe position hours are Monday through Friday from 9:00 am – 5:00 pm. The position will pay between $15.00 - $20.00 per hour during the temporary period and could become permanent placement for the right candidate.The position requires:A minimum of 1-2 years of prior administrative support experienceProficiency in MS OfficeExcellent communication skillsA stable work historyDetail orientedPlease apply online for immediate consideration. Refer to job #TF570 and attach a resume when applying. All qualified candidates will be contacted.	Excellent Interpersonal skills	DentalPaid vacation	0	0	0	Part-time	Entry level	High School or equivalent	Real Estate	Administrative	1
4082	11038	Migration Center					Work with Rohan to develop			0	0	0						1
4171	5942	Admin Assistant	US, MD, Baltimore				Job DescriptionAdministrative AssistantDescriptionAn insurance consulting practice is currently seeking a skilled Administrative Assistant to join its team.The Administrative Assistant will provide administrative and clerical support to the Insurance Compliance Department. Success in this role will depend upon the ability to manage multiple tasks, meet deadlines, and provide outstanding administrative and customer service support.Job Responsibilities include:Heavy data entryScanning and imaging of documentsOther duties as assigned by Department ManagerQualifications:Business communication skills, both written and verbal.Advanced level PC skills using Microsoft Office (Word, Excel, Access, PowerPoint and Outlook).Superior customer service skills.Must be willing to work holidays and weekends as needed.Individual must be self motivated with excellent time management, attendance, organizational and multi-tasking abilities.			0	0	0	Full-time			Hospital & Health Care	Administrative	1
4222	7482	Professional Development Coordinator (Perioperative)  	US, CT, 				Apply using below link#URL_ad7066040069336a9ba7f3abcb92587a2375653434652375eae1e567904972ff#Bristol Hospital in Bristol CT,a beautiful, 134-bed community hospital has an exciting opportunity in our Perioperative Center We are seeking a Professional Development Coordinator to oversee and participate in the clinical education of our services i.e. Operating Room, Ambulatory Surgery, Endoscopy, PACU and Central Sterile Supply. The ideal candidate will be an integral part of the Perioperative Triad to include the Director and Manager. The PDC will also be responsible for the oversight of perioperative standards, will organize departmental educational sessions and also participate in the development of perioperative policy and organizational committees.			0	0	0	Full-time			Hospital & Health Care		1
4250	17700	Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily 	GB, ABD, 				We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you	RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   	This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOW	0	0	1						1
4252	4578	Senior Sales Professionals	US, IN, Indianapolis	Sales/Marketing			Do YOU have the sales skills or entrepreneurial drive to join us?FlexKom GmbH is a German company experiencing massive success in Europe and the UK with a revolutionary Customer Loyalty program. And FlexKom is opening for business in the USA as FlexKom America Inc.!Instead of consumers carrying multiple Rewards cards, they carry an app on their phone. ONE APP (or flexkom rewards card) Universally accepted with small to medium businesses. The customer gets cash back and points on every purchase at a FlexKom participating merchant, and the merchant turns his advertising cost into an INCOME STREAM.Not just a good idea. It's GENIUS combined with technology that didn't exist five years ago.Are YOU an TOP-Level Sales Professional? Are you a Serial Entrepreneur? We are presently aggressively seeking sales pros and entrepreneurs all over the USA to join our team and bring this disruptive technology to the US Market. Do YOU have what it takes to build a sales organization of your own? We are seeking Entrepreneurs who are open to new business opportunities. FlexKom Associates are Global Team Members (GTM), independent business owners operating under IRS W-9 regulations.Watch this short intro video then contact me for more information! #URL_670b1628db01f0732bdd9bc819fbb121f093e4cb0248dd5bae5953cffa4b2efd#Tyler Hollinger#EMAIL_f575c1f8220f5b937bc4ab50f82740211a306d0f5fbb07fe03c31b21a9891a52# #PHONE_dfc9b369cea27d543c03683680e08ee4144de0e06bd70922e0eae6c375bc9328#			0	0	0			High School or equivalent		Sales	1
4253	5688	Network Marketing	US, TX, 		7200-1380000		Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts.	An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business	Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly as long as you put in the work you will see results	0	0	0	Full-time	Not Applicable	Unspecified	Marketing and Advertising	Advertising	1
4258	7481	Operating Room RN  					Find more jobs at #URL_1efb08d6a6da1c56afb2d0c686e1ed0dc14d0fbcb22482369e8a69999aa0d278#Apply using below link#URL_bddd35b9fb09bf1a2a3ad4c66649f951e71d7fe7d2637f3e0ecef15abaa3b70e#Operating Room RN (per diem) -- Las Vegas, NVRequirements: 2 - year minimum acute experience in a hospital setting. We're eager to fill positions immediately, please apply ASAP. Active Nevada State RN license.8 - 12 hour day shifts available, 12 - 48 hours per week***Guaranteed HoursAdvantages of Per Diem Nursing:• Make extra money, depending on their commitment, which is the main advantage. • Pick your own schedules based on your commitment.• 24 hours a week, 36 hours a week - one weekend a month and one holiday a year - these are the nurses making the big bucks, while providing sorely needed coverage.• In most cases staff nurses must work every other weekend, two holidays and can't necessarily pick their schedules.• Nothing can match the flexibility that comes with per diem shifts. Higher PayPer Diem shifts are paid at a higher rate. The flexibility to pick up shifts as needed, combined with higher wages allows you to maximize your earning potential.Bachelor's Degree or Associates Degree in Nursing is requiredMust possess U.S. hospital experience; recent specialty experience within 1 year.Active American Heart Association BLS, ACLS cardWeekly pay rates will be determine based on experience. ***Please Note: If you are proactively looking for an opportunity, or would like to view our MANY openings, you may follow the link and instructions below to create your profile:To inquire, please contact:Mr. Sandy WatkinsRefer a Healthcare Professional and Receive up to $1000			0	0	0	Full-time			Hospital & Health Care		1
